Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-99.099662687,28.345069301]}","La Salle County, TX",130.0,0.0,70.0,70.0,200.0,48283,La Salle,TX
"{""type"":""Point"",""coordinates"":[-101.893467006,36.277666864]}","Sherman County, TX",0.0,0.5,0.0,0.5,0.5,48421,Sherman,TX
"{""type"":""Point"",""coordinates"":[-80.460455107,26.152130965]}","Broward County, FL",0.0,6.65,0.0,6.65,6.65,12011,Broward,FL
"{""type"":""Point"",""coordinates"":[-83.004878298,40.278394744]}","Delaware County, OH",67.5,10.5,0.0,10.5,78.0,39041,Delaware,OH
"{""type"":""Point"",""coordinates"":[-82.621204697,36.97522228]}","Wise County, VA",35.0,10.0,0.0,10.0,45.0,51720,Norton,VA
"{""type"":""Point"",""coordinates"":[-102.043034893,31.368730229]}","Upton County, TX",0.0,280.0,0.0,280.0,280.0,48461,Upton,TX
"{""type"":""Point"",""coordinates"":[-103.048169055,31.850044565]}","Winkler County, TX",150.0,0.0,150.0,150.0,300.0,48495,Winkler,TX
"{""type"":""Point"",""coordinates"":[-99.890122093,32.301472007]}","Taylor County, TX",1000.0,0.0,1412.0,1412.0,2412.0,48441,Taylor,TX
"{""type"":""Point"",""coordinates"":[-100.921228654,32.306211752]}","Mitchell County, TX",700.0,0.0,100.0,100.0,800.0,48335,Mitchell,TX
"{""type"":""Point"",""coordinates"":[-97.407233336,35.551509937]}","Oklahoma County, OK",7.0,17.9,0.0,17.9,24.9,40109,Oklahoma,OK
"{""type"":""Point"",""coordinates"":[-95.572283929,30.73904486]}","Walker County, TX",500.0,0.0,0.0,0.0,500.0,48471,Walker,TX
"{""type"":""Point"",""coordinates"":[-83.385817602,42.660399869]}","Oakland County, MI",4.0,18.8,0.0,18.8,22.8,26125,Oakland,MI
"{""type"":""Point"",""coordinates"":[-80.349295432,40.682262258]}","Beaver County, PA",0.0,120.0,0.0,120.0,120.0,42007,Beaver,PA
"{""type"":""Point"",""coordinates"":[-75.708853952,40.918207765]}","Carbon County, PA",0.0,80.0,0.0,80.0,80.0,42025,Carbon,PA
"{""type"":""Point"",""coordinates"":[-86.052028201,40.07247911]}","Hamilton County, IN",0.0,4.0,0.0,4.0,4.0,18057,Hamilton,IN
"{""type"":""Point"",""coordinates"":[-93.931640063,42.036501678]}","Boone County, IA",0.0,10.4,0.0,10.4,10.4,19015,Boone,IA
"{""type"":""Point"",""coordinates"":[-86.685420939,41.995777445]}","Berrien County, MI",300.0,0.0,0.0,0.0,300.0,26021,Berrien,MI
"{""type"":""Point"",""coordinates"":[-82.630588911,39.751598849]}","Fairfield County, OH",800.0,75.0,0.0,75.0,875.0,39045,Fairfield,OH
"{""type"":""Point"",""coordinates"":[-83.78436879,39.916716373]}","Clark County, OH",70.0,2.0,100.0,102.0,172.0,39023,Clark,OH
"{""type"":""Point"",""coordinates"":[-110.84651268,31.525958373]}","Santa Cruz County, AZ",0.0,0.04,0.0,0.04,0.04,4023,Santa Cruz,AZ
"{""type"":""Point"",""coordinates"":[-93.882405318,32.580697245]}","Caddo Parish, LA",0.0,0.9,0.0,0.9,0.9,22017,Caddo,LA
"{""type"":""Point"",""coordinates"":[-104.525502366,38.832105193]}","El Paso County, CO",75.0,53.45,0.0,53.45,128.45,8041,El Paso,CO
"{""type"":""Point"",""coordinates"":[-91.599022856,42.078953522]}","Linn County, IA",400.0,2.31,60.0,62.31,462.31,19113,Linn,IA
"{""type"":""Point"",""coordinates"":[-89.418121292,43.067292249]}","Dane County, WI",0.0,7.75,0.0,7.75,7.75,55025,Dane,WI
"{""type"":""Point"",""coordinates"":[-88.662541529,32.404286199]}","Lauderdale County, MS",280.0,8.0,40.0,48.0,328.0,28075,Lauderdale,MS
"{""type"":""Point"",""coordinates"":[-88.428788352,41.590577644]}","Kendall County, IL",3103.0,0.0,40.0,40.0,3143.0,17093,Kendall,IL
"{""type"":""Point"",""coordinates"":[-93.296678578,44.354266547]}","Rice County, MN",120.0,0.0,0.0,0.0,120.0,27131,Rice,MN
"{""type"":""Point"",""coordinates"":[-85.066547472,41.090859829]}","Allen County, IN",300.0,0.0,0.0,0.0,300.0,18003,Allen,IN
"{""type"":""Point"",""coordinates"":[-98.501208955,40.524468704]}","Adams County, NE",10.0,0.0,0.0,0.0,10.0,31001,Adams,NE
"{""type"":""Point"",""coordinates"":[-96.794639014,32.348435221]}","Ellis County, TX",780.0,366.0,285.0,651.0,1431.0,48139,Ellis,TX
"{""type"":""Point"",""coordinates"":[-71.820719791,43.940666314]}","Grafton County, NH",0.0,0.4,0.0,0.4,0.4,33009,Grafton,NH
"{""type"":""Point"",""coordinates"":[-120.618976066,47.869206558]}","Chelan County, WA",0.0,33.0,180.0,213.0,213.0,53007,Chelan,WA
