Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
Stafford Technology Campus - Building 11,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 6,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 3,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
Stafford Technology Campus - Building 15,STACK INFRASTRUCTURE,Virginia,Fredericksburg,,,,,,,,DOM
PowerHouse 95 Campus,PowerHouse Data Centers,Virginia,Fredricksburg,800,,Hyperscale,2025,,,,DOM
Amazon AWS IAD - Massapon,Amazon AWS,Virginia,Fredricksburg,,,,,,,,DOM
Amazon AWS IAD - Cosner Tech Campus,Amazon AWS,Virginia,Fredricksburg,,,,,,,,DOM
Amazon AWS IAD - Carters Store Tech Campus,Amazon AWS,Virginia,Fredricksburg,,,,,,,,DOM
Amazon AWS IAD - Orrock Tech Campus,Amazon AWS,Virginia,Fredricksburg,,,,,,,,DOM
Amazon AWS IAD - Mattermeade Campus,Amazon AWS,Virginia,Fredricksburg,,,,,,,,DOM
AVAIO Ladysmith Campus,AVAIO Digital,Virginia,Ladysmith,,,,,,,,DOM
STACK Infrastructure NVA06,STACK INFRASTRUCTURE,Virginia,Leesburg,72,620000,,2025,,N+1,N+1,DOM
Microsoft Compass Creek Campus,Microsoft,Virginia,Leesburg,180,475000,Hyperscale,,,,,DOM
Amazon AWS - Northeast Creek Technology Campus,Amazon AWS,Virginia,Louisa,,,,,,,,DOM
Amazon AWS - Lake Anna Tech Campus,Amazon AWS,Virginia,Mineral,,,,,,,,DOM
EdgeConneX Norfolk - EDCNOR01,EdgeConneX,Virginia,Norfolk,0.75,4623,Colocation,2015,,N+1,N+1,DOM
NetTek Data Center,"NetTek, LLC",Virginia,Norfolk,,,,,,,,DOM
Remington Technology Park,PointOne,Virginia,Remington,425,,Hyperscale,,,,,DOM
Windstream Innsbrook,Windstream,Virginia,Richmond,,,,,,,,DOM
Lumen Richmond 2,Lumen,Virginia,Richmond,,,,,,,,DOM
EdgeConneX Richmond - EDCRIC01,EdgeConneX,Virginia,Richmond,0.5,6797,Colocation,2015,,N+1,N+1,DOM
Flexential Richmond Data Center,Flexential,Virginia,Richmond,2.8,,Colocation,,,N+1,N+1,DOM
Lumen Richmond 1,Lumen,Virginia,Richmond,,,,,,,,DOM
Cogent Data Center - Richmond,"Cogent Communications, Inc.",Virginia,Richmond,,6056,,,,,,DOM
Richweb Data Center,Richweb,Virginia,Richmond,,,,2027,2030,,,DOM
"QTS Richmond 1 DC1, DC2, DC3",QTS Data Centers,Virginia,Richmond,105,,Hyperscale,2023,,2N,,DOM
CTSI Data Center,"Commonwealth Technical Services, Inc.",Virginia,Richmond,,,,,,,,DOM
Carmel Church Data Hub,AVAIO Digital,Virginia,Ruther Glen,300,,,2026,,,,DOM
Iron Mountain Data Centers RCH-1,Iron Mountain Data Centers,Virginia,Sandston,48,,,,,,,DOM
Meta Henrico Data Center,Meta,Virginia,Sandston,,,,,,,,DOM
Meta Sandston,Meta,Virginia,Sandston,,,,,,,,DOM
Corscale Kincora,Corscale,Virginia,Sterling,72,500000,,2024,,,,DOM
CyrusOne NVA7 - Sterling,CyrusOne Data Centers,Virginia,Sterling,150,89097,Hyperscale,2019,,,N+1,DOM
CyrusOne NVA5 - Sterling,CyrusOne Data Centers,Virginia,Sterling,105,,Hyperscale,2017,,,,DOM
Centersquare - Sterling IAD1-B,Centersquare,Virginia,Sterling,4.8,60908,Colocation,1999,,N+1,N+1,DOM
CyrusOne Virginia Campus,CyrusOne Data Centers,Virginia,Sterling,48,420000,Hyperscale,2026,,,,DOM
Centersquare - Sterling IAD1-C,Centersquare,Virginia,Sterling,4.8,44475,Colocation,2001,2014,N+1,N+2,DOM
Centersquare - Sterling IAD1-A,Centersquare,Virginia,Sterling,1.8,36219,Colocation,1998,,N+2,N+1,DOM
EdgeCore Ashburn AS01,EdgeCore,Virginia,Sterling,72,,,2026,,2N,2N,DOM
CyrusOne NVA8 - Sterling,CyrusOne Data Centers,Virginia,Sterling,24,100341,Colocation,2018,,,N+2,DOM
PointOne Ashburn Data Center Campus,PointOne,Virginia,Sterling,83,665000,Hyperscale,2019,,N+1,,DOM
STACK Infrastructure NVA01A,STACK INFRASTRUCTURE,Virginia,Sterling,17,,Colocation,1997,2018,N+1,N+1,DOM
PowerHouse Pacific - Building C,PowerHouse Data Centers,Virginia,Sterling,48,134500,Hyperscale,2026,,,,DOM
PowerHouse Pacific - Building B,PowerHouse Data Centers,Virginia,Sterling,84,198700,Hyperscale,2026,,,,DOM
PowerHouse Pacific - Building A,PowerHouse Data Centers,Virginia,Sterling,90,227500,Hyperscale,2024,,,,DOM
Vantage VA1 - Ashburn I Campus,Vantage Data Centers,Virginia,Sterling,206,,Hyperscale,2019,,N+1,N+2,DOM
22262 Cloud Plz,Sentinel Datacenters,Virginia,Sterling,46,238000,Colocation,,,N+1,N+1,DOM
QTS Ashburn 1 DC1,QTS Data Centers,Virginia,Sterling,36,172000,Colocation,2019,,N+1,N+1,DOM
Vantage VA2 - Ashburn II Campus,Vantage Data Centers,Virginia,Sterling,96,,Hyperscale,2019,,N+1,N+2,DOM
EdgeCore Ashburn AS02,EdgeCore,Virginia,Sterling,42,260000,Colocation,2026,,2N,2N,DOM
QTS Ashburn-Moran DC2,QTS Data Centers,Virginia,Sterling,6,26820,Colocation,2013,,2N+1,,DOM
Skybox Nova One,Skybox Datacenters,Virginia,Sterling,30,,Colocation,2018,,N+1,,DOM
Centersquare - Sterling IAD3-A,Centersquare,Virginia,Sterling,2,31470,Colocation,2006,,N+1,,DOM
CyrusOne NVA4 - Sterling,CyrusOne Data Centers,Virginia,Sterling,12.6,28715,Colocation,1985,,N+1,,DOM
Centersquare - Sterling IAD2-B,Centersquare,Virginia,Sterling,6,32439,Colocation,2027,,N+1,N+1,DOM
Centersquare - Sterling IAD2-A,Centersquare,Virginia,Sterling,2,26770,Colocation,2027,,N+1,N+1,DOM
PowerHouse Arcola Campus,PowerHouse Data Centers,Virginia,Sterling,165,,Hyperscale,,,,,DOM
Amazon - Dumfries Rd & Colchester Park,Amazon AWS,Virginia,Sterling,,,,,,,,DOM
Amazon AWS IAD - 2097 Harpers Rd,Amazon AWS,Virginia,Virginia Beach,,,,,,,,DOM
Globalinx Virginia Beach,Globalinx,Virginia,Virginia Beach,,,,,,,,DOM
Telxius Virginia Beach CLS,Telxius,Virginia,Virginia Beach,,,,,,,,DOM
